z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
231;sup;;super;ac0506;2;ac05062;1
232;ASB;;super;ac0507;888;ac05072;1
233;sup;;super;ac0507;2;ac05072;1
234;ASB;;super;ac0508;888;ac05082;1
235;sup;;super;ac0508;2;ac05082;1
236;ASB;;super;ac0509;888;ac05092;1
237;sup;;super;ac0509;2;ac05092;1
238;sup;;super;ac0903;2;ac09032;1
239;sup;;super;ac1001;2;ac10012;1
240;sup;;super;ac1002;2;ac10022;1
241;sup;;super;ac1002rp;2;ac1002rp2;1
242;sup;;super;ac1003;2;ac10032;1
243;sup;;super;ac1004;2;ac10042;1
244;sup;;super;ac1004a;2;ac1004a2;1
245;sup;;super;ac1004b;2;ac1004b2;1
246;sup;;super;ac1004c;2;ac1004c2;1
247;sup;;super;ac1005;2;ac10052;1
248;sup;;super;ac1006;2;ac10062;1
249;sup;;super;ac1007;2;ac10072;1
250;sup;;super;ac1008;2;ac10082;1
251;sup;;super;ac1009;2;ac10092;1
252;sup;;super;ac1010;2;ac10102;1
253;sup;;super;ac1011;2;ac10112;1
254;sup;;super;ac1012;2;ac10122;1
255;sup;;super;ac1013;2;ac10132;1
256;sup;;super;ac1014;2;ac10142;1
257;act;;super;accm001;74;accm0012;1
258;sup;;super;accm001;2;accm0012;1
259;act;;super;accm002;74;accm0022;1
260;sup;;super;accm002;2;accm0022;1
261;act;;super;accm003;74;accm0032;1
262;sup;;super;accm003;2;accm0032;1
263;act;;super;accm004;74;accm0042;1
264;sup;;super;accm004;2;accm0042;1
265;act;;super;accm005;74;accm0052;1
266;sup;;super;accm005;2;accm0052;1
267;act;;super;accm006;74;accm0062;1
268;sup;;super;accm006;2;accm0062;1
269;act;;super;accm007;74;accm0072;1
270;sup;;super;accm007;2;accm0072;1
271;act;;super;accm008;74;accm0082;1
272;sup;;super;accm008;2;accm0082;1
273;act;;super;accm009;74;accm0092;1
274;sup;;super;accm009;2;accm0092;1
275;act;;super;accm010;74;accm0102;1
276;sup;;super;accm010;2;accm0102;1
277;act;;super;accm011;74;accm0112;1
278;sup;;super;accm011;2;accm0112;1
279;act;;super;accm012;74;accm0122;1
280;sup;;super;accm012;2;accm0122;1
281;act;;super;accm013;74;accm0132;1
282;sup;;super;accm013;2;accm0132;1
